Sample in Buffer,Sample in Window,TRIGGER,nolabel_line188/CSI_BRAM_ENB_1_1,nolabel_line188/csi_gearbox_dma_0_mipi_data[15:0],nolabel_line188/csi_gearbox_dma_0_dbg_fifo_data_ct[11:0],nolabel_line188/CSI_MON_LPD0N_1,nolabel_line188/CSI_MON_LPD0P_1,nolabel_line188/Net[63:0],nolabel_line188/Net1,nolabel_line188/csi_gearbox_dma_0_s00_axis_tready,nolabel_line188/CSI_BRAM_ENB_1,nolabel_line188/CSI_MON_EM_MIPI_START_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_START_LINES_1,nolabel_line188/CSI_MON_EM_MIPI_END_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_DONE_1,nolabel_line188/CSI_MON_EM_MIPI_STOP_1,nolabel_line188/CSI_MON_LINE_COUNT_1[5:0],nolabel_line188/csi_gearbox_dma_0_mipi_read_valid,nolabel_line188/CSI_MON_LINE_BYTE_COUNT_1[20:0],nolabel_line188/CSI_CTRL_STATE_DBG_1[5:0],nolabel_line188/CSI_MON_MIPI_BUSY_DBG_1,nolabel_line188/CSI_MON_MIPI_DONE_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_SHORT_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_LONG_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_IDLE_DBG_1,nolabel_line188/CSI_MON_MIPI_DEBUG_TX_SIZE_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_1[5:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER2_1[15:0],nolabel_line188/CSI_MON_LPCLKN_1,nolabel_line188/CSI_MON_LPCLKP_1
41,41,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
42,42,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
43,43,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
44,44,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
45,45,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
46,46,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
47,47,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
48,48,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
49,49,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
50,50,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
51,51,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
52,52,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
53,53,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
54,54,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
55,55,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
56,56,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
57,57,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
58,58,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
59,59,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
60,60,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
61,61,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
62,62,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
63,63,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
64,64,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
65,65,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
66,66,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
67,67,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
68,68,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
69,69,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
70,70,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
71,71,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
72,72,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
73,73,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
74,74,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
75,75,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
76,76,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
77,77,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
78,78,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
79,79,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
80,80,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
81,81,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
